© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
miR-338-3p (miRNAs w/seed CCAGCAU)	1.406	1.0	N/A	N/A	-2.967	-1.964	N/A	-0.6
SIRT6	1.376	1.301	1.301	0.532	-1.031	-0.628	-1.016	0.751
IKBKG	0.229	-0.686	0.492	-0.254	2.325	1.845	2.099	N/A
miR-30c-5p (and other miRNAs w/seed GUAAACA)	1.442	0.492	0.132	N/A	-2.982	-2.216	N/A	-0.663
KLF15	-1.457	-1.114	N/A	N/A	-1.457	-1.948	-1.948	N/A
Z-LLL-CHO	-1.352	-1.362	-1.276	-1.596	-0.504	-0.504	-0.223	-1.094
HTT	-2.0	-2.0	N/A	N/A	1.89	1.0	1.0	N/A
KLF2	-0.459	N/A	-0.754	-0.411	-1.781	-1.781	-1.483	-1.201
AMBRA1	0.707	0.447	1.0	1.103	-1.629	-0.448	-1.512	-1.0
TGFBR2	-0.411	-0.255	-0.411	0.088	2.302	2.239	1.487	0.633
2-deoxyglucose	0.489	0.849	N/A	-0.128	-2.184	-1.753	-2.416	N/A
IGF2	1.455	1.172	N/A	N/A	1.317	1.934	1.934	N/A
triptolide	-0.478	0.0	N/A	N/A	-2.219	-2.219	-1.982	-0.896
SOX9	-0.342	N/A	-1.067	N/A	1.725	1.941	1.941	0.762
MYCN	1.854	0.585	N/A	N/A	-2.8	-2.213	N/A	0.283
ERBB4	1.0	0.447	0.0	0.447	-2.0	N/A	-1.89	-1.89
