© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
SMPD1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AHR	0.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
S100A9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PRL	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Tbl1x	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SHP099	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DDX4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
indisulam	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PAIP1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AKT	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EGLN1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL22	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IKK (family)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
V-PYRRO/NO	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
lamivudine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LIPG	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CLEC7A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CCR2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ISG15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PIAS3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
fenebrutinib	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TOPBP1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL24	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
JQ1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
tung tree oil	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SELPLG	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
sulforafan	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
