© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Gap Junction Signaling	9.46E-01	1.79E-02	NaN	DAGLA,IL1B,KCNQ3,PLA2G4C,PLCZ1,TLR4	
Signaling by ERBB4	9.42E-01	3.39E-02	NaN	ADAP1,GABRB3	
GABA receptor activation	9.3E-01	3.33E-02	NaN	GABRB3,KCNJ6	
GADD45 Signaling	9.3E-01	3.33E-02	NaN	ACVR1C,IL1B	
Advanced glycosylation endproduct receptor signaling	9.2E-01	7.69E-02	NaN	SAA1	
Assembly of collagen fibrils and other multimeric structures	9.19E-01	3.28E-02	NaN	COL9A2,LAMC2	
Visual phototransduction	9.19E-01	3.28E-02	NaN	DHRS3,STRA6	
Leukocyte Extravasation Signaling	9.06E-01	2.06E-02	NaN	CTNNA2,MMP24,NOX4,VCAM1	
NCAM signaling for neurite out-growth	8.96E-01	3.17E-02	NaN	CACNA1D,COL9A2	
Stearate Biosynthesis I (Animals)	8.96E-01	3.17E-02	NaN	ACSL5,ACSL6	
Tryptophan catabolism	8.9E-01	7.14E-02	NaN	KYNU	
Semaphorin interactions	8.85E-01	3.12E-02	NaN	PLXNB3,SEMA3E	
UFMylation Signaling Pathway	8.85E-01	3.12E-02	NaN	IL1B,TLR4	
Interleukin-1 family signaling	8.73E-01	2.33E-02	NaN	IL1A,IL1B,IRAK2	
IL-6 Signaling	8.73E-01	2.33E-02	NaN	CXCL8,IL1A,IL1B	
Oxytocin in Brain Signaling Pathway	8.66E-01	1.99E-02	NaN	CACNA1D,IL1B,PLA2G4C,TLR4	
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	8.62E-01	6.67E-02	NaN	PTGES	
Collagen biosynthesis and modifying enzymes	8.53E-01	2.99E-02	NaN	ADAMTS14,COL9A2	
PXR/RXR Activation	8.53E-01	2.99E-02	NaN	ALDH1A1,UGT1A1	
Phospholipases	8.42E-01	2.94E-02	NaN	PLA2G4C,PLCZ1	
Caspase activation via Death Receptors in the presence of ligand	8.36E-01	6.25E-02	NaN	TLR4	
Extrinsic Prothrombin Activation Pathway	8.36E-01	6.25E-02	NaN	THBD	
Complement cascade	8.25E-01	2.21E-02	NaN	C4BPB,C5AR1,CFB	
