© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Semaphorin interactions	8.04E-01	2.9E-02	NaN	ITGA1,PLXNA3	
NCAM signaling for neurite out-growth	8.04E-01	2.9E-02	NaN	CACNB4,SPTBN2	
HGF Signaling	8.01E-01	2.24E-02	NaN	ELF3,IL6,ITGA1	
Platelet Adhesion to exposed collagen	7.95E-01	5.88E-02	NaN	ITGA1	
Prednisone ADME	7.95E-01	5.88E-02	NaN	HSD11B1	
Specification of the neural plate border	7.95E-01	5.88E-02	NaN	DLX5	
Malate-aspartate shuttle	7.95E-01	5.88E-02	NaN	NAD 	
Superpathway of Serine and Glycine Biosynthesis I	7.95E-01	5.88E-02	NaN	NAD 	
2-oxobutanoate Degradation I	7.95E-01	5.88E-02	NaN	NAD 	
3-phosphoinositide Degradation	7.87E-01	1.93E-02	NaN	ACP5,ATP1A2,PPP1R3C,PXYLP1	
PXR/RXR Activation	7.84E-01	2.82E-02	NaN	CYP2A6,IL6	
Chondroitin Sulfate Biosynthesis (Late Stages)	7.75E-01	2.78E-02	NaN	HS6ST3,SULT4A1	
Erythrocytes take up carbon dioxide and release oxygen	7.72E-01	5.56E-02	NaN	NAD 	
Formation of xylulose-5-phosphate	7.72E-01	5.56E-02	NaN	NAD 	
Extrinsic Prothrombin Activation Pathway	7.72E-01	5.56E-02	NaN	TFPI	
Adrenomedullin signaling pathway	7.72E-01	1.9E-02	NaN	ADM,CFH,IL33,TFAP2E	
Binding and Uptake of Ligands by Scavenger Receptors	7.68E-01	2.16E-02	NaN	FTH1,JCHAIN,SCARF1	
D-myo-inositol-5-phosphate Metabolism	7.67E-01	1.9E-02	NaN	ACP5,ATP1A2,PPP1R3C,PXYLP1	
Integrin Signaling	7.67E-01	1.9E-02	NaN	ACTN2,ITGA1,RHOU,TSPAN1	
Breast Cancer Regulation by Stathmin1	7.59E-01	1.48E-02	NaN	AGTR1,FPR1,GPER1,GPR146,GPR68,LPAR1,mir-210,PPP1R3C,PTGIR	
